x,y,condition
-4.0079837,-25.07761,Benign Fluctuation
9.194205,4.5659366,Benign Fluctuation
16.37723,-36.258514,Benign Fluctuation
20.78955,-13.154758,Benign Fluctuation
-37.466606,5.2407384,Benign Fluctuation
-8.179796,-20.765003,Benign Fluctuation
-26.694176,31.873667,Benign Fluctuation
-24.06805,-16.89469,Benign Fluctuation
-21.256659,-21.811548,Benign Fluctuation
-7.4283185,-1.5346497,Benign Fluctuation
19.901241,-1.8038305,Benign Fluctuation
-4.201091,-23.543404,Benign Fluctuation
28.633957,-4.097568,Benign Fluctuation
-31.491745,1.3296404,Benign Fluctuation
14.775004,-28.004906,Benign Fluctuation
-27.503847,-18.59746,Benign Fluctuation
20.27872,18.371977,Benign Fluctuation
8.964711,-31.006922,Benign Fluctuation
-19.767057,-8.668452,Benign Fluctuation
-19.447832,-22.353346,Benign Fluctuation
-2.1242783,-13.937017,Benign Fluctuation
-0.8818888,-30.826908,Benign Fluctuation
20.71115,4.7235613,Benign Fluctuation
-13.449339,-6.774943,Benign Fluctuation
45.21806,-5.7314377,Benign Fluctuation
42.434288,7.900733,Benign Fluctuation
7.3387165,2.0353198,Benign Fluctuation
29.243246,-5.708605,Benign Fluctuation
-28.763731,-1.4921566,Benign Fluctuation
-13.675685,25.888676,Benign Fluctuation
34.59765,6.3552265,Benign Fluctuation
6.9312525,28.016361,Benign Fluctuation
-0.831074,-10.124569,Benign Fluctuation
31.749836,4.1657677,Benign Fluctuation
9.017157,-19.711126,Benign Fluctuation
45.800274,-4.842633,Benign Fluctuation
-13.906178,-17.541937,Benign Fluctuation
41.853497,-4.883024,Benign Fluctuation
17.703129,-35.977013,Benign Fluctuation
-10.2940235,-16.613049,Benign Fluctuation
41.556206,3.87606,Benign Fluctuation
0.41156238,-9.770762,Benign Fluctuation
20.732416,-14.457865,Benign Fluctuation
-25.464249,-19.082754,Benign Fluctuation
-1.9288275,-15.646648,Benign Fluctuation
-38.971016,-15.123036,Benign Fluctuation
38.82557,0.64772487,Benign Fluctuation
38.409004,-2.2605028,Benign Fluctuation
32.01614,16.11204,Benign Fluctuation
-6.3380866,-20.497057,Benign Fluctuation
-17.222418,-7.106337,Benign Fluctuation
36.83382,-9.66304,Benign Fluctuation
10.045526,2.8984818,Benign Fluctuation
-2.6035297,-31.68074,Benign Fluctuation
24.091837,-12.380552,Benign Fluctuation
2.1937597,-32.731678,Benign Fluctuation
22.680277,13.139862,Benign Fluctuation
9.034564,1.3684444,Benign Fluctuation
-35.70004,15.575901,Benign Fluctuation
16.58423,-13.221835,Benign Fluctuation
5.003761,-30.052366,Benign Fluctuation
-30.834637,-17.697254,Benign Fluctuation
-38.223892,-2.2387636,Benign Fluctuation
27.958788,0.7840523,Benign Fluctuation
16.21097,-14.806724,Benign Fluctuation
42.913227,-8.614312,Benign Fluctuation
-34.033527,-15.445187,Benign Fluctuation
-39.814957,-1.7561858,Benign Fluctuation
5.9508896,-18.147995,Benign Fluctuation
20.107126,21.108831,Benign Fluctuation
-2.7734883,-7.305926,Benign Fluctuation
3.3532748,-17.037989,Benign Fluctuation
-39.328236,-2.3700233,Benign Fluctuation
-41.039543,-3.2690334,Benign Fluctuation
-13.739027,-18.873785,Benign Fluctuation
-8.732881,-18.270067,Benign Fluctuation
-2.935432,-33.591686,Benign Fluctuation
-28.067604,-5.1556816,Benign Fluctuation
-19.412706,-11.273018,Benign Fluctuation
4.515144,-33.062794,Benign Fluctuation
39.22689,6.6085987,Benign Fluctuation
41.064674,-7.489323,Benign Fluctuation
37.97327,9.299187,Benign Fluctuation
-3.3580694,-16.026384,Benign Fluctuation
-36.889412,-16.856209,Benign Fluctuation
-39.184372,-17.820292,Benign Fluctuation
35.434326,-4.185595,Benign Fluctuation
37.951485,-15.843479,Benign Fluctuation
37.862724,-5.3183002,Benign Fluctuation
-22.755886,-7.158756,Benign Fluctuation
20.35503,-26.158276,Benign Fluctuation
39.362385,-9.34929,Benign Fluctuation
10.16403,-29.986603,Benign Fluctuation
12.8983965,-10.760978,Benign Fluctuation
35.72236,-0.803172,Benign Fluctuation
22.951025,-13.489825,Benign Fluctuation
-17.126202,22.14344,Benign Fluctuation
-23.445276,-22.219547,Benign Fluctuation
-43.68606,-4.8866806,Benign Fluctuation
-2.75966,-8.603033,Benign Fluctuation
-27.184494,0.43377113,Benign Fluctuation
35.362076,4.7175355,Benign Fluctuation
-15.524506,19.205774,Benign Fluctuation
44.067013,-9.51223,Benign Fluctuation
-1.115618,-17.168707,Benign Fluctuation
-14.066127,23.693993,Benign Fluctuation
14.947873,8.214991,Benign Fluctuation
-0.7629336,-27.369215,Benign Fluctuation
18.814472,-3.3166275,Benign Fluctuation
40.183403,-12.528519,Benign Fluctuation
-39.792534,-16.183584,Benign Fluctuation
39.12314,-13.724296,Benign Fluctuation
11.6351795,-27.569778,Benign Fluctuation
-16.193884,26.191523,Benign Fluctuation
6.6733217,-30.13197,Benign Fluctuation
30.547709,12.728733,Benign Fluctuation
-41.09785,-16.067354,Benign Fluctuation
-4.040699,-30.23263,Benign Fluctuation
14.70897,-29.443295,Benign Fluctuation
11.59986,-10.016923,Benign Fluctuation
12.401497,-23.63692,Benign Fluctuation
34.894794,-7.3349223,Benign Fluctuation
11.329455,-20.591087,Benign Fluctuation
-1.9855335,-18.634249,Benign Fluctuation
-0.959653,-25.868565,Benign Fluctuation
20.496227,-11.328381,Benign Fluctuation
-24.78277,-22.132639,Benign Fluctuation
0.41938147,-31.136223,Benign Fluctuation
23.51274,2.2143173,Benign Fluctuation
15.119815,-18.307064,Benign Fluctuation
2.5376577,20.933567,Benign Fluctuation
-17.372717,-27.01424,Benign Fluctuation
-9.236665,-26.589716,Benign Fluctuation
-8.841334,-19.46677,Benign Fluctuation
-11.894642,-25.330297,Benign Fluctuation
