x,y,label
-45.070957,2.4472802,Benign Fluctuation
0.31663194,6.776464,Benign Fluctuation
28.641811,-23.666176,Benign Fluctuation
12.724918,-9.561335,Benign Fluctuation
-5.831352,14.766931,Benign Fluctuation
48.163567,11.960401,Benign Fluctuation
25.113527,-15.298274,Benign Fluctuation
40.632416,-5.8672733,Benign Fluctuation
38.338955,-2.5579607,Benign Fluctuation
-39.547543,-4.6498785,Benign Fluctuation
33.65537,17.106468,Benign Fluctuation
-44.444073,1.793661,Benign Fluctuation
38.078903,-11.736542,Benign Fluctuation
50.299355,10.609295,Benign Fluctuation
-43.07756,-3.8915715,Benign Fluctuation
9.603046,6.1800957,Benign Fluctuation
47.293682,13.305812,Benign Fluctuation
-36.907734,8.465972,Benign Fluctuation
33.479588,6.2859945,Benign Fluctuation
3.462767,16.086914,Benign Fluctuation
-28.35532,-19.42344,Benign Fluctuation
13.252009,-13.709876,Benign Fluctuation
31.486002,-2.3836367,Benign Fluctuation
-42.915283,2.2740092,Benign Fluctuation
-38.088684,7.658306,Benign Fluctuation
8.3823185,-20.029469,Benign Fluctuation
-0.51807356,-12.582954,Benign Fluctuation
-12.164131,-8.799014,Benign Fluctuation
-44.029102,-3.26104,Benign Fluctuation
-31.019243,-5.3420644,Benign Fluctuation
26.831654,-18.430069,Benign Fluctuation
-18.34333,-7.3096232,Benign Fluctuation
24.112707,-18.564775,Benign Fluctuation
-14.186592,-6.188039,Benign Fluctuation
-22.826868,-25.265171,Benign Fluctuation
32.611565,16.515888,Benign Fluctuation
34.845287,-1.5877624,Benign Fluctuation
29.462084,9.203434,Benign Fluctuation
9.83545,23.577192,Benign Fluctuation
37.530064,-3.509802,Benign Fluctuation
12.625385,-1.5760245,Benign Fluctuation
21.651257,-21.204153,Benign Fluctuation
-11.957218,-1.9262977,Benign Fluctuation
38.304466,9.51013,Benign Fluctuation
-25.48576,-24.342943,Benign Fluctuation
-8.042413,-29.504467,Benign Fluctuation
-39.939415,12.859721,Benign Fluctuation
-31.487335,6.8779,Benign Fluctuation
-10.007635,1.5030013,Benign Fluctuation
-18.622822,11.901384,Benign Fluctuation
10.160817,20.563581,Benign Fluctuation
3.0448997,-4.943048,Benign Fluctuation
5.2528653,-5.4779444,Benign Fluctuation
-25.24742,-19.35794,Benign Fluctuation
40.85125,9.292682,Benign Fluctuation
-23.641819,17.821825,Benign Fluctuation
-16.199404,14.4495735,Benign Fluctuation
-6.0136843,-29.228338,Benign Fluctuation
-46.655663,-3.7758617,Benign Fluctuation
49.055473,10.418426,Benign Fluctuation
-19.644482,6.8217125,TDAP Attack
-10.799782,20.810709,TDAP Attack
-36.705345,-9.018163,TDAP Attack
-3.6905055,-28.568892,TDAP Attack
-17.187994,-16.502207,TDAP Attack
17.095917,-15.808837,TDAP Attack
-36.32459,-4.3821917,TDAP Attack
5.5660734,-29.999031,TDAP Attack
-15.689563,-5.336105,TDAP Attack
-26.605165,17.752174,TDAP Attack
-23.789309,19.368788,TDAP Attack
-34.50134,17.62881,TDAP Attack
-11.560458,22.423338,TDAP Attack
-34.012245,8.602425,TDAP Attack
-19.338713,25.482576,TDAP Attack
-19.418842,-28.645191,TDAP Attack
1.3100046,17.325539,TDAP Attack
7.495353,21.102617,TDAP Attack
10.800683,9.42001,TDAP Attack
3.6003878,-4.124417,TDAP Attack
13.818527,29.327553,TDAP Attack
8.1224785,34.104992,TDAP Attack
0.7149443,-12.535272,TDAP Attack
6.81197,30.079973,TDAP Attack
-2.9808764,-29.811354,TDAP Attack
-16.072102,-5.550808,TDAP Attack
11.068474,-25.126307,TDAP Attack
-35.376675,15.696087,TDAP Attack
-21.824747,15.0109825,TDAP Attack
-40.33744,-3.9531739,TDAP Attack
-24.50694,-16.569122,TDAP Attack
-2.61068,23.08136,TDAP Attack
7.1952252,-17.084908,TDAP Attack
-9.832573,-27.305077,TDAP Attack
22.914291,-19.414001,TDAP Attack
3.3321915,-22.998848,TDAP Attack
-28.203,-24.238169,TDAP Attack
-0.6574155,24.94142,TDAP Attack
-11.263334,1.3234624,TDAP Attack
13.911297,-22.505585,TDAP Attack
12.003752,23.33406,TDAP Attack
-40.91828,8.35485,TDAP Attack
-21.603277,12.7768755,TDAP Attack
-18.675499,-16.099154,TDAP Attack
-5.5504994,16.267223,TDAP Attack
-20.553635,-8.861921,TDAP Attack
8.604117,-2.9074466,TDAP Attack
-15.985202,-26.768288,TDAP Attack
17.519562,-3.583388,TDAP Attack
-10.732896,-31.070879,TDAP Attack
-36.301586,2.4721541,TDAP Attack
-16.352722,26.184084,TDAP Attack
16.856567,-3.9911315,TDAP Attack
12.653707,-12.3697195,TDAP Attack
-6.847868,-6.2103643,TDAP Attack
49.88902,12.020383,TDAP Attack
-4.6756897,-28.661901,TDAP Attack
-10.093789,-32.393642,TDAP Attack
-15.453499,-10.688279,TDAP Attack
-15.766489,21.230766,TDAP Attack
7.880957,7.7290287,TDAP Attack
21.588133,-7.592734,TDAP Attack
-29.843699,-3.7611346,TDAP Attack
0.9291382,3.6806834,TDAP Attack
16.443577,-22.004923,TDAP Attack
3.6836264,-30.24712,TDAP Attack
15.564297,19.69073,TDAP Attack
-40.40917,11.2359295,TDAP Attack
-7.6403885,-2.3600228,TDAP Attack
-17.938856,13.859325,TDAP Attack
-25.171598,-15.788773,TDAP Attack
-19.761929,-14.348837,TDAP Attack
-7.7820086,-3.8913484,TDAP Attack
22.238588,-7.8254013,TDAP Attack
-10.71477,-3.3296125,TDAP Attack
31.588285,8.310296,TDAP Attack
-30.42097,-7.238192,TDAP Attack
13.8944435,-6.437789,TDAP Attack
-29.204113,-19.700369,TDAP Attack
19.740728,-22.074795,TDAP Attack
9.404768,-4.3697305,TDAP Attack
-13.965224,-28.506168,TDAP Attack
-15.785832,-11.554424,TDAP Attack
-13.733491,25.754068,TDAP Attack
3.490524,7.0167475,TDAP Attack
23.85169,-22.15909,TDAP Attack
-4.585614,-25.492859,TDAP Attack
41.962128,-6.772661,TDAP Attack
46.797047,15.152549,TDAP Attack
13.101207,-23.41287,TDAP Attack
29.776615,12.011471,TDAP Attack
-23.37519,-20.885685,TDAP Attack
-20.096222,24.463915,TDAP Attack
40.49981,6.527753,TDAP Attack
17.57828,4.701577,TDAP Attack
-6.03122,4.188293,TDAP Attack
40.037693,-7.6713543,TDAP Attack
1.1339555,18.214779,TDAP Attack
42.812073,-6.3582864,TDAP Attack
-17.269941,4.3940525,TDAP Attack
38.173203,-9.3785095,TDAP Attack
5.739941,-31.322775,TDAP Attack
5.2532754,-22.52227,TDAP Attack
44.091755,12.448973,TDAP Attack
-5.3402705,5.724565,TDAP Attack
13.137375,21.306097,TDAP Attack
-25.608934,-18.058903,TDAP Attack
